Name,Price,Peak CCU,Required age,DiscountDLC count,Negative Reviews,Positive Reviews,Recommendations,Estimated owners,Genres,Total Reviews,Positive Rate
Supipara - Chapter 1 Spring Has Come!,5.24,0,0,65,0,252,0,0 - 20000,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",252,100.0
Mystery Solitaire The Black Raven,4.99,0,0,0,0,21,0,0 - 20000,"Single-player,Family Sharing",21,100.0
Armored Brigade II,35.99,8,0,10,0,117,0,0 - 20000,"Single-player,Steam Workshop,Steam Cloud,Family Sharing",117,100.0
Hepta Beats,0.99,0,0,0,0,28,9,0 - 20000,"Single-player,Steam Achievements,Full controller support,Family Sharing",28,100.0
MUMBA IV: Egypt Jewels,0.59,1,0,0,0,19,100,0 - 20000,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing,Steam Timeline",19,100.0
OMNIMUS,0.99,0,0,0,0,47,0,0 - 20000,"Single-player,Family Sharing",47,100.0
Fantasy General II,13.99,13,0,0,0,1025,77,100000 - 200000,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing",1025,100.0
"Forests, Fields and Fortresses",1.49,0,0,70,0,64,13,0 - 20000,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",64,100.0
DogDogDog,1.35,0,0,66,0,34,5,0 - 20000,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing",34,100.0
Redline,1.04,0,0,0,0,74,0,0 - 20000,"Single-player,Family Sharing",74,100.0
Evertried,5.99,0,0,0,0,55,66,0 - 20000,"Single-player,Full controller support,Family Sharing",55,100.0
Bad North: Jotunn Edition,2.99,64,0,80,0,11367,11,500000 - 1000000,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing",11367,100.0
Lucky Night: Texas Hold'em VR,0.0,0,0,0,0,144,0,100000 - 200000,"Multi-player,PvP,Online PvP,Tracked Controller Support,VR Only,In-App Purchases,Stats",144,100.0
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,12.49,0,0,0,0,75,39,20000 - 50000,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",75,100.0
Wizard Shrimp,2.99,1,0,0,0,95,24,0 - 20000,"Single-player,Steam Achievements,Full controller support,Stats,Family Sharing",95,100.0
Epic Arena,0.0,2,0,0,0,196,45,100000 - 200000,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards",196,100.0
Pixel Game Maker Series Werewolf Princess Kaguya,9.99,0,0,0,0,12,0,0 - 20000,"Single-player,Full controller support,Family Sharing",12,100.0
OPERATION TEMPLE,5.99,0,0,80,0,10,0,0 - 20000,"Single-player,Family Sharing",10,100.0
Fateless,0.0,0,0,0,0,26,0,100000 - 200000,"Single-player,Partial Controller Support",26,100.0
MazeBot,0.0,0,0,0,0,39,9,0 - 20000,"Single-player,Steam Achievements,Full controller support",39,100.0
The Metronomicon: Slay The Dance Floor,4.99,1,0,0,0,330,32,20000 - 50000,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play Together,Family Sharing",330,100.0
Virus at Home,2.99,0,0,0,0,31,16,20000 - 50000,"Single-player,Steam Achievements,Family Sharing",31,100.0
Who is Paul,0.89,0,0,70,0,13,2,0 - 20000,"Single-player,Steam Achievements,Family Sharing",13,100.0
I fell from Grace,0.79,0,0,0,0,54,46,0 - 20000,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing",54,100.0
Evan's Remains,1.39,2,0,0,0,1637,17,200000 - 500000,"Single-player,Steam Achievements,Full controller support,Camera Comfort,Playable without Timed Input,Family Sharing",1637,100.0
Zero-G Gunfight,2.49,0,0,0,0,59,15,0 - 20000,"Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together,Family Sharing",59,100.0
Eastshade,9.99,3,0,0,0,4608,18,100000 - 200000,"Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing",4608,100.0
Shadow of the Tomb Raider: Definitive Edition,4.0,0,17,0,0,13036,99,0 - 20000,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",13036,100.0
